cidade,pais,lat,lon
Alexandria,Egypt,31.2,29.9167
Yuncheng,China,35.0304,110.998
Pingdingshan,China,33.735,113.2999
Huizhou,China,23.1115,114.4152
Huai'an,China,33.5,119.1331
Xinpu,China,34.5906,119.1801
Chenzhou,China,25.7989,113.0267
Guilin,China,25.2667,110.2833
Jiujiang,China,29.7048,116.0021
Anqing,China,30.5,117.0333
Boston,United States,42.3188,-71.0846
Huanglongsi,China,34.7936,114.3403
Jiangmen,China,22.5833,113.0833
Changzhou,China,31.8122,119.9692
Barcelona,Spain,41.3825,2.1769
Wuxi,China,31.5667,120.2833
Zibo,China,36.7831,118.0497
Jiaxing,China,30.7522,120.75
Dalian,China,38.9,121.6
Hengshui,China,37.7348,115.686
Harbin,China,45.75,126.6333
Yangzhou,China,32.3912,119.4363
Yibin,China,28.7596,104.64
Johannesburg,South Africa,-26.2044,28.0416
Yiyang,China,28.5833,112.3333
Meizhou,China,24.2998,116.1191
Chifeng,China,42.2663,118.9223
Casablanca,Morocco,33.5992,-7.62
Guiyang,China,26.5794,106.7078
Langfang,China,39.5196,116.7006
Zhangjiakou,China,40.8108,114.8811
Izmir,Turkey,38.4127,27.1384
Linfen,China,36.0812,111.5087
Wenzhou,China,27.9991,120.6561
Monterrey,Mexico,25.6667,-100.3
Luzhou,China,28.8918,105.4409
Jiangguanchi,China,34.0244,113.8201
Neijiang,China,29.5872,105.0635
Phoenix,United States,33.5722,-112.0891
Yanjiang,China,30.1256,104.6397
Zhaoqing,China,23.05,112.4667
Xiaoxita,China,30.7083,111.2803
Guigang,China,23.0961,109.6092
Xiamen,China,24.4797,118.0819
Chuzhou,China,32.3062,118.3115
Fuzhou,China,27.9814,116.3577
Zhuzhou,China,27.8407,113.1469
Amman,Jordan,31.95,35.9333
Jeddah,Saudi Arabia,21.5428,39.1728
Loudi,China,27.7378,111.9974
Deyang,China,31.1289,104.395
Qingyuan,China,23.6842,113.0507
Wuhu,China,31.334,118.3622
Hechi,China,23.0965,109.6091
Seattle,United States,47.6211,-122.3244
Binzhou,China,37.3806,118.0125
Yokohama,Japan,35.4333,139.6333
Liuzhou,China,24.3264,109.4281
Baojishi,China,34.3609,107.1751
Guang'an,China,30.4673,106.6336
Hanzhong,China,33.0794,107.026
Kabul,Afghanistan,34.5328,69.1658
Zaozhuang,China,34.8667,117.55
Berlin,Germany,52.5167,13.3833
Anshan,China,41.1066,122.9895
Lanzhou,China,36.0617,103.8318
Chengde,China,40.9739,117.9322
San Francisco,United States,37.7562,-122.443
Puyang,China,35.7639,115.03
Suining,China,30.5098,105.5737
Jiaozuo,China,35.229,113.2304
Bengbu,China,32.9354,117.3531
Montreal,Canada,45.5089,-73.5617
Detroit,United States,42.3834,-83.1024
Baicheng,China,23.901,106.6194
Busan,"Korea, South",35.1,129.0403
Algiers,Algeria,36.7764,3.0586
Qincheng,China,34.5809,105.7311
Taiyuan,China,37.8733,112.5425
Shiyan,China,32.6351,110.7755
Lucknow,India,26.847,80.947
Chaoyang,China,41.5757,120.4486
Hechi,China,24.6928,108.085
Leshan,China,29.5854,103.7575
Yulinshi,China,38.2655,109.7388
Siping,China,43.1715,124.3644
Zhongshan,China,22.5333,113.35
Changzhi,China,36.1953,113.097
San Diego,United States,32.8312,-117.1225
Faisalabad,Pakistan,31.418,73.079
Santa Cruz,Bolivia,-17.7892,-63.1975
Qinhuangdao,China,39.9398,119.5881
Bazhou,China,31.8576,106.7559
Zhenjiang,China,32.2109,119.4551
Urumqi,China,43.8225,87.6125
Tongliao,China,43.6172,122.264
Heyuan,China,23.7503,114.6923
Tongren,China,27.7233,109.1885
Qinzhou,China,21.95,108.6167
Jaipur,India,26.9167,75.8667
Xinzhou,China,38.4178,112.7233
Addis Ababa,Ethiopia,9.0272,38.7369
Meishan,China,30.0575,103.8381
Brasilia,Brazil,-15.7939,-47.8828
Mashhad,Iran,36.3069,59.6042
Jinzhou,China,41.1144,121.1292
Tieling,China,42.2841,123.8365
Shaoguan,China,24.8011,113.5927
Kuwait City,Kuwait,29.375,47.98
Shanwei,China,22.7664,115.3331
Minneapolis,United States,44.9635,-93.2678
Kyiv,Ukraine,50.45,30.5236
Sanaa,Yemen,15.35,44.2
Quezon City,Philippines,14.6333,121.0333
Dingxi,China,35.5806,104.6263
Incheon,"Korea, South",37.4639,126.6486
Bursa,Turkey,40.1833,29.0667
Ningde,China,26.6667,119.5167
Tampa,United States,27.9942,-82.4451
Daqing,China,46.5979,125.008
Birmingham,United Kingdom,52.48,-1.9025
Putian,China,25.4394,119.0103
Huzhou,China,30.8695,120.0958
Salvador,Brazil,-12.9708,-38.5108
Wuzhou,China,23.4833,111.3167
Xiangtan,China,27.8431,112.9228
Denver,United States,39.7621,-104.8759
Rome,Italy,41.8931,12.4828
La Paz,Bolivia,-16.4942,-68.1475
Pyongyang,"Korea, North",39.03,125.73
Kano,Nigeria,12.0,8.5167
Taichung,Taiwan,24.15,120.6667
Omdurman,Sudan,15.6835,32.4629
Zigong,China,29.3498,104.7645
Mudanjiang,China,44.5861,129.5997
Huludao,China,40.7094,120.8378
Kaohsiung,Taiwan,22.6167,120.3
Guayaquil,Ecuador,-2.1833,-79.8833
Rizhao,China,35.4164,119.4331
Manchester,United Kingdom,53.4794,-2.2453
Cawnpore,India,26.4725,80.3311
Baotou,China,40.6562,109.8345
Taipei,Taiwan,25.0478,121.5319
Nanping,China,26.6448,118.1728
Chaozhou,China,23.67,116.63
Longyan,China,25.0881,117.0244
Ibadan,Nigeria,7.3964,3.9167
Hohhot,China,40.8151,111.6629
Antananarivo,Madagascar,-18.9386,47.5214
Longba,China,33.535,105.349
Weihai,China,37.5,122.1
Chattogram,Bangladesh,22.335,91.8325
Santo Domingo,Dominican Republic,18.4764,-69.8933
Xuanzhou,China,30.9475,118.7518
Sanming,China,26.2658,117.6302
Brooklyn,United States,40.6501,-73.9496
Yangjiang,China,21.8556,111.9627
Medellin,Colombia,6.2447,-75.5748
Yunfu,China,22.9242,112.0353
Brisbane,Australia,-27.4678,153.0281
Baoshan,China,25.1211,99.169
Dubai,United Arab Emirates,25.2697,55.3094
Luohe,China,33.583,114.0109
Qinbaling,China,35.7278,107.64
Mirzapur,India,25.15,82.58
Guangyuan,China,32.4353,105.8398
Cali,Colombia,3.44,-76.5197
Huangshi,China,30.2018,115.0326
Daegu,"Korea, South",35.8667,128.6
Fortaleza,Brazil,-3.7275,-38.5275
Guatemala City,Guatemala,14.6099,-90.5252
Yaounde,Cameroon,3.8578,11.5181
Douala,Cameroon,4.05,9.7
Jilin,China,43.85,126.55
Lianshan,China,40.7503,120.83
Lincang,China,23.8864,100.0871
Antalya,Turkey,36.9081,30.6956
Tashkent,Uzbekistan,41.3,69.2667
Bandung,Indonesia,-6.95,107.5667
Nagpur,India,21.1539,79.0831
Huainan,China,32.4831,117.0164
Dandong,China,40.1167,124.3833
Shangzhou,China,33.868,109.9244
Bekasi,Indonesia,-6.2333,107.0
Ghaziabad,India,28.6667,77.4167
Tijuana,Mexico,32.525,-117.0333
Jiamusi,China,46.8081,130.3653
Accra,Ghana,5.6037,-0.187
Yuxi,China,24.3495,102.5432
Anshun,China,26.2456,105.934
Vancouver,Canada,49.25,-123.1
Tangerang,Indonesia,-6.1783,106.6319
Konya,Turkey,37.8714,32.4847
Queens,United States,40.7498,-73.7976
Yingkou,China,40.6653,122.2297
Adana,Turkey,37.0,35.325
Medan,Indonesia,3.6667,98.6667
Sanmenxia,China,34.7736,111.195
Indore,India,22.7206,75.8472
Ma'anshan,China,31.7135,118.3605
Pingliang,China,35.5412,106.6819
Quzhou,China,28.9545,118.8763
Baku,Azerbaijan,40.3667,49.8352
Gaoping,China,30.7804,106.13
Huaibei,China,33.9562,116.789
Xining,China,36.6239,101.7787
Harare,Zimbabwe,-17.8292,31.0522
Yan'an,China,36.5952,109.4863
Havana,Cuba,23.1367,-82.3589
Phnom Penh,Cambodia,11.5696,104.921
Fukuoka,Japan,33.6,130.4167
Mogadishu,Somalia,2.0408,45.3425
Jincheng,China,35.4906,112.8483
Puning,China,23.2993,116.1586
Lishui,China,28.45,119.9167
Qingyang,China,24.8141,118.5792
Riverside,United States,33.9381,-117.3948
Baltimore,United States,39.3051,-76.6144
Haiphong,Vietnam,20.8,106.6667
Las Vegas,United States,36.2333,-115.2654
Laibin,China,23.7333,109.2333
Rawalpindi,Pakistan,33.6007,73.0679
Kumasi,Ghana,6.6833,-1.6167
Portland,United States,45.5372,-122.65
Vadodara,India,22.3,73.2
Perth,Australia,-31.9522,115.8589
San Antonio,United States,29.4658,-98.5253
Vishakhapatnam,India,17.7333,83.3167
Gujranwala,Pakistan,32.15,74.1833
Gaziantep,Turkey,37.0667,37.3833
Fushun,China,41.8708,123.8917
St. Louis,United States,38.6358,-90.2451
Bamako,Mali,12.6458,-7.9922
Quito,Ecuador,-0.2186,-78.5097
Minsk,Belarus,53.9022,27.5618
Pingxiang,China,27.6333,113.85
Chongzuo,China,22.4167,107.3667
Sanliurfa,Turkey,37.1583,38.7917
Kananga,Congo (Kinshasa),-5.897,22.4488
Peshawar,Pakistan,34.0,71.5
Sapporo,Japan,43.0621,141.3544
Hezhou,China,24.4164,111.5478
Jixi,China,45.2937,130.965
Caracas,Venezuela,10.5,-66.9333
Fuxin,China,42.0127,121.6486
Aleppo,Syria,36.2,37.15
Almaty,Kazakhstan,43.25,76.9
Dayr az Zawr,Syria,35.3333,40.15
Vienna,Austria,48.2083,16.3731
Leeds,United Kingdom,53.7997,-1.5492
Sacramento,United States,38.5667,-121.4683
Blantyre,Malawi,-15.7861,35.0058
Tainan,Taiwan,22.9833,120.1833
Zhuhai,China,22.2769,113.5678
Bucharest,Romania,44.4,26.0833
Wuwei,China,37.9278,102.6329
Bhopal,India,23.25,77.4167
Curitiba,Brazil,-25.4297,-49.2719
Multan,Pakistan,30.1978,71.4711
Xiping,China,40.08,113.3
Asuncion,Paraguay,-25.3,-57.6333
Saidu Sharif,Pakistan,34.75,72.3572
Hamburg,Germany,53.55,10.0
Meru,Kenya,0.05,37.65
Brazzaville,Congo (Brazzaville),-4.2667,15.2833
Orlando,United States,28.4772,-81.3369
Mersin,Turkey,36.8,34.6167
Kyoto,Japan,35.0111,135.7669
Manaus,Brazil,-3.1,-60.0167
Liaoyang,China,41.2643,123.1772
Baiyin,China,36.5448,104.1766
San Jose,United States,37.3019,-121.8486
Warsaw,Poland,52.2167,21.0333
Shengli,China,37.45,118.4667
Lubumbashi,Congo (Kinshasa),-11.6697,27.4581
Haikou,China,20.02,110.32
Damascus,Syria,33.5131,36.2919
Shuyangzha,China,34.1299,118.7734
Brussels,Belgium,50.8333,4.3333
Esfahan,Iran,32.6447,51.6675
Budapest,Hungary,47.4983,19.0408
Heihe,China,50.2458,127.4886
Lusaka,Zambia,-15.4167,28.2833
Hyderabad City,Pakistan,25.3792,68.3683
Diyarbakir,Turkey,37.9108,40.2367
Chinchvad,India,18.6278,73.8131
Shuozhou,China,39.3408,112.4292
Cleveland,United States,41.4767,-81.6804
Pittsburgh,United States,40.4396,-79.9762
Patna,India,25.61,85.1414
Mosul,Iraq,36.3667,43.1167
Austin,United States,30.3004,-97.7522
Sanzhou,China,30.82,108.4
Mecca,Saudi Arabia,21.4225,39.8261
Conakry,Guinea,9.5092,-13.7122
Kampala,Uganda,0.3136,32.5811
Ecatepec,Mexico,19.6097,-99.06
Cincinnati,United States,39.1413,-84.5061
Makassar,Indonesia,-5.1331,119.4136
Yushan,China,31.3867,120.9766
Ludhiana,India,30.9083,75.8486
Newcastle,United Kingdom,55.0077,-1.6578
Depok,Indonesia,-6.394,106.8225
Zhongli,Taiwan,24.965,121.2168
Kansas City,United States,39.1239,-94.5541
Ouagadougou,Burkina Faso,12.3572,-1.5353
Davao,Philippines,7.0667,125.6
Manhattan,United States,40.7834,-73.9662
Semarang,Indonesia,-6.9667,110.4167
Yinchuan,China,38.4795,106.2254
Caloocan City,Philippines,14.65,120.9667
Novosibirsk,Russia,55.0333,82.9167
Chengtangcun,China,35.0833,117.15
Agra,India,27.18,78.02
Karaj,Iran,35.8327,50.9915
Indianapolis,United States,39.7771,-86.1458
Jingdezhen,China,29.2942,117.2036
Puebla,Mexico,19.0333,-98.1833
Kalyan,India,19.2502,73.1602
Madurai,India,9.9197,78.1194
Benxi,China,41.292,123.761
Jamshedpur,India,22.8,86.1833
Recife,Brazil,-8.0539,-34.8808
Columbus,United States,39.9862,-82.985
Tabriz,Iran,38.0833,46.2833
Maracaibo,Venezuela,10.6333,-71.6333
Zhangjiajie,China,29.1255,110.4844
Beihai,China,21.4667,109.1
Shuangyashan,China,46.6388,131.1545
Kobe,Japan,34.6913,135.183
Charlotte,United States,35.208,-80.8304
Yucheng,China,29.9888,103.0007
Changshu,China,31.65,120.7333
Lianjiang,China,21.6146,110.2794
Ximeicun,China,24.9633,118.3811
Jianguang,China,28.1958,115.7833
Madinat as Sadis min Uktubar,Egypt,29.9361,30.9269
Xushan,China,30.1697,121.2665
Belem,Brazil,-1.4558,-48.5039
Guiping,China,23.4,110.0833
Leizhou,China,20.9147,110.0806
Gwangju,"Korea, South",35.1667,126.9167
Nasik,India,20.0,73.7833
Porto Alegre,Brazil,-30.0328,-51.23
Valencia,Venezuela,10.1667,-68.0
Onitsha,Nigeria,6.1667,6.7833
Virginia Beach,United States,36.7335,-76.0435
Daejeon,"Korea, South",36.351,127.385
Munich,Germany,48.1372,11.5755
Auckland,New Zealand,-36.85,174.7833
Yekaterinburg,Russia,56.8356,60.6128
Huangshan,China,29.7132,118.3151
Huazhou,China,32.6889,112.0447
Shiraz,Iran,29.61,52.5425
Pizhou,China,34.3422,118.0097
Palembang,Indonesia,-2.9833,104.7644
Leon de los Aldama,Mexico,21.1167,-101.6833
El Kelaa des Srarhna,Morocco,32.05,-7.4
Kharkiv,Ukraine,50.0,36.2292
Kawanakajima,Japan,35.53,139.705
Yangshe,China,31.8775,120.5512
Chizhou,China,30.6583,117.4849
Guyuan,China,36.008,106.2782
Rui'an,China,27.778,120.6526
Birstall,United Kingdom,52.6736,-1.12
Muscat,Oman,23.6139,58.5922
Hebi,China,35.7497,114.2887
Bronx,United States,40.8501,-73.8662
Gaozhou,China,21.9135,110.8481
The Hague,Netherlands,52.0767,4.2986
Owerri,Nigeria,5.4833,7.0333
Sharjah,United Arab Emirates,25.3575,55.3919
Faridabad,India,28.4333,77.3167
Ulaanbaatar,Mongolia,47.9203,106.9172
Goiania,Brazil,-16.6806,-49.2564
Kayseri,Turkey,38.7333,35.4833
Yueqing,China,28.1188,120.9621
Belgrade,Serbia,44.8167,20.4667
Pingdu,China,36.7833,119.9556
Milan,Italy,45.4669,9.19
Aurangabad,India,19.88,75.32
Yutan,China,28.3147,112.554
Wenling,China,28.3797,121.3718
Milwaukee,United States,43.0642,-87.9673
Sofia,Bulgaria,42.6979,23.3217
Adelaide,Australia,-34.9289,138.6011
Prague,Czechia,50.0833,14.4167
Samsun,Turkey,41.2867,36.33
Rajkot,India,22.2969,70.7984
Liangshi,China,27.2578,111.7351
Khulna,Bangladesh,22.8167,89.55
Cordoba,Argentina,-31.4167,-64.1833
Guarulhos,Brazil,-23.4667,-46.5333
Juarez,Mexico,31.7386,-106.487
Saitama,Japan,35.8617,139.6453
Montevideo,Uruguay,-34.8667,-56.1667
Mbuji-Mayi,Congo (Kinshasa),-6.1209,23.5967
Fuqing,China,25.7232,119.3735
Xintai,China,35.91,117.78
Doha,Qatar,25.3,51.5333
Hiroshima,Japan,34.4,132.45
Meerut,India,28.99,77.7
Yushu,China,44.8249,126.5451
Rongcheng,China,26.2312,104.0966
Huazhou,China,21.654,110.6294
Yangquan,China,37.8576,113.5762
Haicheng,China,40.8523,122.7474
Yingtan,China,28.2333,117.0
Huaiyin,China,33.58,119.03
Wuzhong,China,37.9874,106.1919
Barranquilla,Colombia,10.9639,-74.7964
Jabalpur,India,23.1667,79.9333
Thane,India,19.18,72.9633
Zhangye,China,38.9355,100.4553
Rucheng,China,32.3852,120.5634
Nizhniy Novgorod,Russia,56.3269,44.0075
Comayaguela,Honduras,14.0833,-87.2167
Shaoyang,China,32.9387,119.8404
Dhanbad,India,23.7928,86.435
Yichun,China,47.7235,128.8893
Laiwu,China,36.1833,117.6667
Jingling,China,30.6667,113.1667
Kazan,Russia,55.7908,49.1144
Dayan,China,26.8808,100.2208
Suwon,"Korea, South",37.2858,127.01
Jiangyin,China,31.9087,120.2653
Yongcheng,China,33.9317,116.4459
Calgary,Canada,51.05,-114.0667
Can Tho,Vietnam,10.0333,105.7833
Abuja,Nigeria,9.0556,7.4914
Yiwu,China,29.3081,120.0698
Mandalay,Myanmar,21.9769,96.0869
Beidao,China,34.6,105.92
Al Basrah,Iraq,30.4889,47.81
Shuangshui,China,26.5944,104.8333
Vila Velha,Brazil,3.2167,-51.2167
Allahabad,India,25.455,81.84
Varanasi,India,25.3189,83.0128
Chelyabinsk,Russia,55.15,61.4
Mombasa,Kenya,-4.05,39.6667
Providence,United States,41.823,-71.4187
Qom,Iran,34.6461,50.8789
Maiduguri,Nigeria,11.8333,13.15
Maputo,Mozambique,-25.9153,32.5764
Rosario,Argentina,-32.9575,-60.6394
Benin City,Nigeria,6.3176,5.6145
Xinyu,China,27.795,114.9242
Pikine,Senegal,14.75,-17.4
Ahvaz,Iran,31.3203,48.6692
Dublin,Ireland,53.3497,-6.2603
Jacksonville,United States,30.3322,-81.6749
Medina,Saudi Arabia,24.4667,39.6
Srinagar,India,34.0911,74.8061
Omsk,Russia,54.9667,73.3833
Cilacap,Indonesia,-7.7167,109.017
Bandar Lampung,Indonesia,-5.4294,105.2625
Samara,Russia,53.1833,50.1167
Guankou,China,28.1417,113.625
Ulsan,"Korea, South",35.55,129.3167
Dingzhou,China,38.5158,114.9845
Campinas,Brazil,-22.9009,-47.0573
Lianyuan,China,27.6961,111.6659
Rongcheng,China,29.8239,112.9019
Kaiyuan,China,36.0656,113.8153
Nay Pyi Taw,Myanmar,19.7475,96.115
Dakar,Senegal,14.7319,-17.4572
Zhuji,China,29.7169,120.2314
Kigali,Rwanda,-1.9536,30.0606
Zapopan,Mexico,20.7167,-103.4
Leiyang,China,26.4179,112.8457
Santiago,Dominican Republic,19.45,-70.7
Dadukou,China,26.5849,101.7149
Xiantao,China,30.3833,113.4
Amritsar,India,31.6167,74.85
Callao,Peru,-12.0611,-77.1333
Aligarh,India,27.88,78.08
Yingchuan,China,34.1511,113.4733
Tegucigalpa,Honduras,14.0942,-87.2067
Ciudad Nezahualcoyotl,Mexico,19.41,-99.03
Tripoli,Libya,32.8752,13.1875
Rostov,Russia,47.2333,39.7167
Nezahualcoyotl,Mexico,19.4,-98.9889
Bhiwandi,India,19.3,73.0667
Zhoushan,China,30.0162,122.0988
Tbilisi,Georgia,41.7225,44.7925
Ufa,Russia,54.7333,55.9667
Fes,Morocco,34.0433,-5.0033
Sevilla,Spain,37.39,-5.99
Mexicali,Mexico,32.6633,-115.4678
Bien Hoa,Vietnam,10.9277,106.8681
Gwalior,India,26.215,78.1931
Ankang,China,32.6877,109.0235
Ikare,Nigeria,7.5304,5.76
Huambo,Angola,-12.7667,15.7333
Hegang,China,47.3139,130.2775
Salt Lake City,United States,40.7777,-111.9306
Bhilai,India,21.2167,81.4333
Yuyao,China,30.0372,121.1546
N'Djamena,Chad,12.11,15.05
Hanchuan,China,30.652,113.8274
Gongzhuling,China,43.5036,124.8088
Irbid,Jordan,32.5556,35.85
Haora,India,22.59,88.31
Cologne,Germany,50.9422,6.9578
Krasnoyarsk,Russia,56.0167,92.8667
Yicheng,China,31.3697,119.8239
Sao Goncalo,Brazil,-22.8269,-43.0539
Nashville,United States,36.1715,-86.7843
Yerevan,Armenia,40.1814,44.5144
Ranchi,India,23.3556,85.3347
Nur-Sultan,Kazakhstan,51.1333,71.4333
Nouakchott,Mauritania,18.0858,-15.9785
Vereeniging,South Africa,-26.6736,27.9319
Richmond,United States,37.5295,-77.4756
Sao Luis,Brazil,-2.53,-44.3028
San Pedro Sula,Honduras,15.5,-88.0333
Taixing,China,32.1724,120.0142
Memphis,United States,35.1046,-89.9773
Goyang,"Korea, South",37.6564,126.835
Bezwada,India,16.5167,80.6167
Edmonton,Canada,53.5344,-113.4903
Mizhou,China,35.99,119.3801
Tunis,Tunisia,36.8008,10.18
Xishan,China,27.6609,113.4946
Ezhou,China,30.3972,114.8842
Barquisimeto,Venezuela,10.0678,-69.3467
Sendai,Japan,38.2683,140.8694
Voronezh,Russia,51.6717,39.2106
Perm,Russia,58.0139,56.2489
Changwon,"Korea, South",35.2281,128.6811
Zhongwei,China,37.5139,105.1884
Shouguang,China,36.8833,118.7333
Bogor,Indonesia,-6.6,106.8
Raleigh,United States,35.8325,-78.6435
Cartagena,Colombia,10.4236,-75.5253
Chandigarh,India,30.7353,76.7911
Bishkek,Kyrgyzstan,42.8667,74.5667
Matola,Mozambique,-25.9667,32.4667
Ogbomoso,Nigeria,8.1333,4.25
Ashgabat,Turkmenistan,37.95,58.3833
Maceio,Brazil,-9.6658,-35.735
Niamey,Niger,13.5086,2.1111
Managua,Nicaragua,12.15,-86.2667
Patam,Indonesia,1.0678,104.0167
Tekirdag,Turkey,40.9833,27.5167
Shubra al Khaymah,Egypt,30.1286,31.2422
Linhai,China,28.8523,121.1409
Monrovia,Liberia,6.3106,-10.8047
Wafangdian,China,39.6271,121.9972
Zhongxiang,China,31.169,112.5853
Odesa,Ukraine,46.4775,30.7326
Shymkent,Kazakhstan,42.3,69.6
New Orleans,United States,30.0687,-89.9288
Thu Duc,Vietnam,10.8199,106.7909
Volgograd,Russia,48.7086,44.5147
Port-au-Prince,Haiti,18.5425,-72.3386
Islamabad,Pakistan,33.6989,73.0369
Mysore,India,12.3086,76.6531
Xinyi,China,22.3559,110.9369
Kathmandu,Nepal,27.7167,85.3667
Raipur,India,21.2379,81.6337
Nice,France,43.7034,7.2663
Arequipa,Peru,-16.3988,-71.5369
